#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# troll;;;;;;;;;;;;;;x
tribal_emperor_troll;God King;Dieu-roi;Gottkönig;;;;;;;;;;;x
tribal_emperor_female_troll;God Queen;Déesse-reine;Gottkönigin;;;;;;;;;;;x
tribal_empire_of_troll;Empire of;Empire de;Imperium von;;;;;;;;;;;x
tribal_empire_troll;Empire;Empire;Imperium;;;;;;;;;;;x
# vrykul;;;;;;;;;;;;;;x
tribal_emperor_vrykul;Emperor;Empereur;Kaiser;;;;;;;;;;;x
tribal_emperor_female_vrykul;Empress;Impératrice;Kaiserin;;;;;;;;;;;x
tribal_empire_of_vrykul;Empire of;Empire de;Kaiserreich von;;;;;;;;;;;x
tribal_empire_vrykul;Empire;Empire;Kaiserreich;;;;;;;;;;;x
tribal_king_vrykul;King;Roi;König;;;;;;;;;;;x
tribal_king_female_vrykul;Queen;Reine;Königin;;;;;;;;;;;x
tribal_king_of_vrykul;Kingdom of;Royaume de;Königreich von;;;;;;;;;;;x
tribal_king_vrykul;Kingdom;Royaume;Königreich;;;;;;;;;;;x
tribal_duke_vrykul;Jarl;Jarl;Jarl;;;;;;;;;;;x
tribal_duke_female_vrykul;Frue;Frue;Frau;;;;;;;;;;;x
tribal_duchy_of_vrykul;Jarldom of;Châtellerie de;Jarltum von;;;;;;;;;;;x
