#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_grand_magisters_asylum;Grand Magister's Asylum;;;;;;;;;;;;;x
b_grand_magisters_asylum_adj;Magister;;;;;;;;;;;;;x
b_observation_grounds;Observation Grounds;;;;;;;;;;;;;x
b_observation_grounds_adj;Magister;;;;;;;;;;;;;x
b_the_assembly_chamber;The Assembly Chamber;;;;;;;;;;;;;x
b_the_assembly_chamber_adj;Magister;;;;;;;;;;;;;x
b_halls_of_theory;Halls of Theory;;;;;;;;;;;;;x
b_halls_of_theory_adj;Magister;;;;;;;;;;;;;x
b_solar_vigil;Solar Vigil;;;;;;;;;;;;;x
b_solar_vigil_adj;Magister;;;;;;;;;;;;;x
b_greengill_coast;Greengill Coast;;;;;;;;;;;;;x
b_greengill_coast_adj;Greengill Coaster;;;;;;;;;;;;;x
b_court_of_style;Court of Style;;;;;;;;;;;;;x
b_court_of_style_adj;Stylist;;;;;;;;;;;;;x
b_suns_reach;Sun's Reach;;;;;;;;;;;;;x
b_suns_reach_adj;Sunreacher;;;;;;;;;;;;;x
b_dawnstar_village;Dawnstar Village;;;;;;;;;;;;;x
b_dawnstar_village_adj;Dawnstar Villager;;;;;;;;;;;;;x
b_dawnblade_fort;Dawnblade Fort;;;;;;;;;;;;;x
b_dawnblade_fort_adj;Dawnblade;;;;;;;;;;;;;x
b_sunstone;Sunstone;;;;;;;;;;;;;x
b_sunstone_adj;Sunstoner;;;;;;;;;;;;;x
b_shattered_sun_staging_area;Shattered Sun Staging Area;;;;;;;;;;;;;x
b_shattered_sun_staging_area_adj;Shattered Sun;;;;;;;;;;;;;x
b_dawning_fields;Dawning Fields;;;;;;;;;;;;;x
b_dawning_fields_adj;Dawning Fielder;;;;;;;;;;;;;x
b_noonpoint;Noonpoint;;;;;;;;;;;;;x
b_noonpoint_adj;Noonpointer;;;;;;;;;;;;;x
b_sunwell_plateau;Sunwell Plateau;;;;;;;;;;;;;x
b_sunwell_plateau_adj;Sunwell;;;;;;;;;;;;;x
b_parhelion_plaza;Parhelion Plaza;;;;;;;;;;;;;x
b_parhelion_plaza_adj;Parhelion;;;;;;;;;;;;;x
b_agamath;Agamath;;;;;;;;;;;;;x
b_agamath_adj;Agamathian;;;;;;;;;;;;;x
b_terrace_of_the_sun;Terrace of the Sun;;;;;;;;;;;;;x
b_terrace_of_the_sun_adj;Sunwell;;;;;;;;;;;;;x
b_rohendor;Rohendor;;;;;;;;;;;;;x
b_rohendor_adj;Rohendoran;;;;;;;;;;;;;x
b_shrine_of_the_eclipse;Shrine of the Eclipse;;;;;;;;;;;;;x
b_shrine_of_the_eclipse_adj;Eclipse;;;;;;;;;;;;;x
b_archonisus;Archonisus;;;;;;;;;;;;;x
b_archonisus_adj;Archonisusi;;;;;;;;;;;;;x
b_sunspire;Sunspire;;;;;;;;;;;;;x
b_sunspire_adj;Sunspirer;;;;;;;;;;;;;x
b_falthrien_academy;Falthrien Academy;;;;;;;;;;;;;x
b_falthrien_academy_adj;Falthrieni;;;;;;;;;;;;;x
b_shrine_of_dath_remar;Shrine of Dath'Remar;;;;;;;;;;;;;x
b_shrine_of_dath_remar_adj;Dath'Remari;;;;;;;;;;;;;x
b_sunstrider_crossing;Sunstrider Crossing;;;;;;;;;;;;;x
b_sunstrider_crossing_adj;Sunstrider Crosser;;;;;;;;;;;;;x
b_sunrise_hills;Sunrise Hills;;;;;;;;;;;;;x
b_sunrise_hills_adj;Sunrise Hillan;;;;;;;;;;;;;x
b_solar_bluffs;Solar Bluffs;;;;;;;;;;;;;x
b_solar_bluffs_adj;Solar Bluffer;;;;;;;;;;;;;x
b_solstice_point;Solstice Point;;;;;;;;;;;;;x
b_solstice_point_adj;Solstice Pointer;;;;;;;;;;;;;x
b_court_of_the_sun;Court of the Sun;;;;;;;;;;;;;x
b_court_of_the_sun_adj;Solar Courtier;;;;;;;;;;;;;x
b_farstriders_square;Farstrider's Square;;;;;;;;;;;;;x
b_farstriders_square_adj;Farstrider;;;;;;;;;;;;;x
b_walk_of_elders;Walk of Elders;;;;;;;;;;;;;x
b_walk_of_elders_adj;Elder Strolls;;;;;;;;;;;;;x
b_falconwing_square;Falconwing Square;;;;;;;;;;;;;x
b_falconwing_square_adj;Falconwing;;;;;;;;;;;;;x
b_the_royal_exchange;The Royal Exchange;;;;;;;;;;;;;x
b_the_royal_exchange_adj;Royal Exchange;;;;;;;;;;;;;x
b_the_sanctum;The Sanctum;;;;;;;;;;;;;x
b_the_sanctum_adj;Sanctum;;;;;;;;;;;;;x
b_skulking_row;Skulking Row;;;;;;;;;;;;;x
b_skulking_row_adj;Skulker;;;;;;;;;;;;;x
b_north_sanctum;North Sanctum;;;;;;;;;;;;;x
b_north_sanctum_adj;North Sanctum;;;;;;;;;;;;;x
b_leypath;Leypath;;;;;;;;;;;;;x
b_leypath_adj;Leypather;;;;;;;;;;;;;x
b_arcanum;Arcanum;;;;;;;;;;;;;x
b_arcanum_adj;Arcanist;;;;;;;;;;;;;x
b_magefire;Magefire;;;;;;;;;;;;;x
b_magefire_adj;Magefirer;;;;;;;;;;;;;x
b_staffwell;Staffwell;;;;;;;;;;;;;x
b_staffwell_adj;Staffweller;;;;;;;;;;;;;x
b_manatap;Manatap;;;;;;;;;;;;;x
b_manatap_adj;Manatapper;;;;;;;;;;;;;x
b_surgestop;Surgestop;;;;;;;;;;;;;x
b_surgestop_adj;Surgestopper;;;;;;;;;;;;;x
b_sunstrider_retreat;Sunstrider Retreat;;;;;;;;;;;;;x
b_sunstrider_retreat_adj;Sunstrider;;;;;;;;;;;;;x
b_silverhome;Silverhome;;;;;;;;;;;;;x
b_silverhome_adj;Silverhomer;;;;;;;;;;;;;x
b_rising_moon;Rising Moon;;;;;;;;;;;;;x
b_rising_moon_adj;Rising Moonic;;;;;;;;;;;;;x
b_phoenix_solar;Phoenix Solar;;;;;;;;;;;;;x
b_phoenix_solar_adj;Phoenix Solarian;;;;;;;;;;;;;x
b_princely_shore;Princely Shore;;;;;;;;;;;;;x
b_princely_shore_adj;Princely Shoreer;;;;;;;;;;;;;x
b_wellwatch;Wellwatch;;;;;;;;;;;;;x
b_wellwatch_adj;Wellwatcher;;;;;;;;;;;;;x
b_solstice_sands;Solstice Sands;;;;;;;;;;;;;x
b_solstice_sands_adj;Solstice Sandser;;;;;;;;;;;;;x
b_farstrider_retreat;Farstrider Retreat;;;;;;;;;;;;;x
b_farstrider_retreat_adj;Farstrider Retreater;;;;;;;;;;;;;x
b_hawkeye_post;Hawkeye Post;;;;;;;;;;;;;x
