#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# light_group;;;;;;;;;;;;;;x
temple_king_light_group;Bishop-King;Évêque-roi;Erzbischof;;;;;;;;;;;x
temple_king_female_light_group;Bishop-Queen;Évêque-reine;Erzbischöfin;;;;;;;;;;;x
temple_duke_holy_light;Archbishop;Archevêque;Erzbischof;;;;;;;;;;;x
temple_duke_female_light_group;Archbishop;Archevêque;Erzbischöfin;;;;;;;;;;;x
temple_duchy_of_light_group;Prince-Archbishopric of;Archevêché princier de;Erzbistum von;;;;;;;;;;;x
temple_duchy_light_group;Prince-Archbishopric;Archevêché princier;Erzbistum;;;;;;;;;;;x
temple_count_light_group;Prince-Bishop;Prince-évêque;Bischof;;;;;;;;;;;x
temple_count_female_light_group;Prince-Bishop;Princesse-évêque;Bischöfin;;;;;;;;;;;x
temple_county_of_light_group;Prince-Bishopric of;Évêché princier de;Bistum von;;;;;;;;;;;x
temple_county_light_group;Prince-Bishopric;Évêché princier de;Bistum;;;;;;;;;;;x
temple_baron_light_group;Bishop;Évêque;Bischof;;;;;;;;;;;x
temple_baron_female_light_group;Bishop;Évêque;Bischöfin;;;;;;;;;;;x
temple_barony_of_light_group;Bishopric of;Évêché de;Abtei von;;;;;;;;;;;x
temple_barony_light_group;Bishopric;Évêché;Abtei;;;;;;;;;;;x
# fel_group;;;;;;;;;;;;;;x
temple_king_fel_group;Archwarlock;Archidémoniste;Erzhexenmeister;;;;;;;;;;;x
temple_king_female_fel_group;Archwarlock;Archidémoniste;Erzhexenmeisterin;;;;;;;;;;;x
temple_duke_fel_group;Grand Warlock;Grand démoniste;Großer Hexenmeister;;;;;;;;;;;x
temple_duke_female_fel_group;Grand Warlock;Grande démoniste;Große Hexenmeisterin;;;;;;;;;;;x
temple_count_fel_group;High Warlock;Haut démoniste;Hoher Hexenmeister;;;;;;;;;;;x
temple_count_female_fel_group;High Warlock;Haute démoniste;Hohe Hexenmeisterin;;;;;;;;;;;x
temple_baron_orcish_fel;Warlock;Démoniste;Hexenmeister;;;;;;;;;;;x
temple_baron_female_fel_group;Warlock;Démoniste;Hexenmeisterin;;;;;;;;;;;x
temple_barony_of_fel_group;Altar of;Autel de;Altar von;;;;;;;;;;;x
temple_barony_fel_group;Altar;Autel;Altar;;;;;;;;;;;x
# druidism;;;;;;;;;;;;;;x
temple_baron_druidism;Druid;Druide;Druide;;;;;;;;;;;x
temple_baron_female_druidism;Druidess;Druidesse;Druidin;;;;;;;;;;;x
temple_barony_of_druidism;Shrine of;Sanctuaire de;Schrein von;;;;;;;;;;;x
temple_barony_druidism;Shrine;Sanctuaire;Schrein;;;;;;;;;;;x
# elune;;;;;;;;;;;;;;
temple_baron_elune;Priest;Prêtre;Priester;;;;;;;;;;;x
temple_baron_female_elune;Priestess;Prêtresse;Priesterin;;;;;;;;;;;x
temple_barony_of_elune;Temple of;Temple de;Tempel von;;;;;;;;;;;x
temple_barony_elune;Temple;Temple;Tempel;;;;;;;;;;;x
# elemental_group;;;;;;;;;;;;;;
temple_baron_elemental_group;Shaman;Chaman;Schamane;;;;;;;;;;;x
temple_baron_female_elemental_group;Shaman;Chamane;Schamanin;;;;;;;;;;;x
# forgotten_shadow;;;;;;;;;;;;;;
temple_baron_forgotten_shadow;Deathspeaker;Nécrorateur;Prophet des Todes;;;;;;;;;;;x
temple_baron_female_forgotten_shadow;Deathspeaker;Nécroratrice;Prophetin des Todes;;;;;;;;;;;x
# void_group;;;;;;;;;;;;;;
temple_baron_void_group;Dark Cleric;Sombre clerc;Dunkler Kleriker;;;;;;;;;;;x
temple_baron_female_void_group;Dark Cleric;Sombre clerc;Dunkle Klerikerin;;;;;;;;;;;x
# mercantilism;;;;;;;;;;;;;;
temple_baron_mercantilism;Bankir;Bankir;Bankir;;;;;;;;;;;x
temple_baron_female_mercantilism;Bankir;Bankir;Bankir;;;;;;;;;;;x
# arcane;;;;;;;;;;;;;;x
temple_emperor;Grand Archmage;Grand Archmage;Grand Archmage;;;;;;;;;;;x
temple_emperor_female;Grand Archmagistrix;Grand archimagistère;Große Erzmagierin;;;;;;;;;;;x
temple_empire_of;High Kingdom of;Haut Royaume de;Hochkönigreich von;;;;;;;;;;;x
temple_empire;High Kingdom;Haut Royaume;Hochkönigreich;;;;;;;;;;;x
temple_king;Grand Magister;Grand Magistère;Großmagister;;;;;;;;;;;x
temple_king_female;Grand Magistrix;Grand Magistère;Großmagistrix;;;;;;;;;;;x
temple_kingdom_of;Kingdom of;Royaume de;Königreich von;;;;;;;;;;;x
temple_kingdom;Kingdom;Royaume;Königreich;;;;;;;;;;;x
temple_duke;Mage Lord;Mage Lord;Mage Lord;;;;;;;;;;;x
temple_duke_female;Mage Lady;Mage Lady;Mage Lady;;;;;;;;;;;x
temple_duchy_of;Magocracy of;Magocratie de;Magokratie von;;;;;;;;;;;x
temple_duchy;Magocracy;Magocratie;Magokratie;;;;;;;;;;;x
temple_count;Arcanist;Arcaniste;Arkanist;;;;;;;;;;;x
temple_count_female;Arcanist;Arcaniste;Arkanistin;;;;;;;;;;;x
temple_county_of;City of;Cité de;Stadt;;;;;;;;;;;x
temple_county;City;Cité;Stadt;;;;;;;;;;;x
temple_baron;Archivist;Archiviste;Archivist;;;;;;;;;;;x
temple_baron_female;Archivist;Archiviste;Archivistin;;;;;;;;;;;x
temple_barony_of;Citadel of;Citadelle de;Zitadelle von;;;;;;;;;;;x
temple_barony;Citadel;Citadelle;Zitadelle;;;;;;;;;;;x
